hits,loadtime,datatransferred,cdn,reference,bot,duration
65,232.68,2.99,Microsoft,Direct,Bot,128.6874907
44,231.57,3.39,Microsoft,Direct,Human,86.45992618
55,268.13,2.98,Beluga,Direct,Bot,79.78634982
67,255.06,3.29,Cloudflare,External,Bot,120.6388046
49,199.3,2.89,DDOS-GUARD,External,Human,114.0126102
48,207.92,2.38,Beluga,Direct,Human,112.7238659
42,259.02,2.74,Cloudflare,Direct,Human,58.87558241
40,226.24,2.11,Beluga,External,Human,79.71284787
52,269.78,3.23,Beluga,Direct,Bot,77.7072543
59,259.21,2.77,Microsoft,Direct,Bot,96.38048578
53,255.07,3.43,Beluga,Direct,Bot,88.26099584
33,250.01,3.11,Microsoft,External,Human,45.35978057
58,255.13,2.04,Microsoft,Direct,Bot,103.6652648
45,264.04,2.76,Beluga,Direct,Human,69.67108603
38,188.08,4.03,Cloudflare,External,Human,106.5100413
54,230.82,2.48,Microsoft,External,Bot,100.8632746
33,244.31,4.04,Beluga,Direct,Human,66.10670533
44,257.72,2.87,DDOS-GUARD,External,Human,67.39878151
54,250.78,3.32,Beluga,External,Bot,93.12228634
66,272.08,3.07,Microsoft,External,Bot,114.0000785
54,252.37,3.28,Cloudflare,Direct,Bot,100.0572703
53,232.52,3.36,DDOS-GUARD,Direct,Bot,101.3206541
50,243.34,3.12,Cloudflare,Direct,Bot,88.75127301
48,201.49,2.62,Cloudflare,External,Human,114.3997886
40,223.25,3.01,Beluga,External,Human,79.11915087
47,250.2,2.47,DDOS-GUARD,External,Human,76.44855719
47,242.95,2.66,Beluga,External,Human,83.94735454
51,225.94,3.4,Beluga,Direct,Human,98.07422811
39,197.29,3.46,DDOS-GUARD,Direct,Human,91.35166692
46,234.98,3.18,Beluga,Direct,Human,91.21980322
54,227.57,3.66,DDOS-GUARD,Direct,Bot,113.2317545
60,241.34,3.6,Beluga,External,Bot,107.7916673
51,230.48,2.63,Microsoft,Direct,Human,94.16244506
64,237.84,3.6,Beluga,External,Bot,114.6523098
